식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
최원석의돼지한판 광장점,육류/고기,4.2,서울 광진구 아차산로 478 1층,매일 11:30 ~ 01:00,02-447-4544,100,22건
예담밥상,한정식,2.9,서울 광진구 동일로22길 13 1층,매일 10:00 ~ 22:00,02-469-0072,16,23건
크래버 대게나라 광장점,게/대게,3.8,서울 광진구 천호대로 611 1층,매일 11:30 ~ 24:00,02-456-0277,78,79건
원조할아버지손두부,두부전문점,4.3,서울 광진구 자양로 324 1층,매일 06:00 ~ 22:00,02-447-6540,277,52건
신토불이떡볶이 본점,떡볶이,3.1,서울 광진구 자양로43길 42 1층,화~일 11:00 ~ 23:00,,812,230건
송림식당,기사식당,3.3,서울 광진구 자양번영로 79,매일 06:00 ~ 23:00,02-457-5473,202,82건
서북면옥,냉면,3.7,서울 광진구 자양로 199-1,월~토 11:00 ~ 20:00,02-457-8319,255,117건
이이요,일식,4.1,서울 광진구 능동로32길 6,월~토 12:00 ~ 23:00 · 브레이크타임 월~토 14:30 ~ 17:00,02-3437-2225,434,109건
송화산시도삭면 2호점,중화요리,4.0,서울 광진구 아차산로30길 33,매일 11:00 ~ 23:00,02-468-7826,199,68건
로니로티 건대점,이탈리안,3.8,서울 광진구 아차산로 225 3층,매일 11:30 ~ 23:00,02-498-7999,492,71건
비스타워커힐서울 피자힐,피자,3.9,서울 광진구 워커힐로 177 워커힐호텔,영업시간 매일 12:30 ~ 21:30,02-450-4699,326,68건
아찌떡볶이,분식,3.1,서울 광진구 아차산로29길 53,월/화/목/금/토/일 12:00 ~ 20:00,02-462-8340,136,56건
멕시칼리,양식,4.8,서울 광진구 능동로36길 181 2층,화~일 11:30 ~ 22:00,070-7623-1707,176,84건
군자대한곱창 본점,곱창/막창,3.2,서울 광진구 능동로36길 10,월~금 11:30 ~ 02:00,02-456-5207,167,50건
도우터,카페,4.2,서울 광진구 아차산로31길 40,월~금 12:00 ~ 23:30,02-464-0559,244,30건
뚝방길홍차가게,카페,4.4,서울 광진구 자양강변길 277 1층,화/수요일,02-512-0189,164,54건
영미오리탕 군자점,오리,3.7,서울 광진구 동일로60길 53 천수빌딩 1층,매일 11:00 ~ 23:30 · 브레이크타임 매일 15:00 ~ 16:30,02-463-5222,147,38건
뱃놈,조개,4.1,서울 광진구 광나루로19길 9 1층,영업시간 월~목 16:00 ~ 01:30,,123,30건
아르무아,카페,3.7,서울 광진구 동일로22길 117-27 1~2층,매일 11:00 ~ 23:00,02-463-9981,191,42건
송화양꼬치,양꼬치,3.9,서울 광진구 동일로18길 70,매일 11:00 ~ 02:00,02-462-7826,133,42건
감성타코 건대점,멕시칸/브라질,2.7,서울 광진구 능동로13길 39 2층,월~금 12:00 ~ 22:00,02-462-8883,181,43건
크래버 대게나라 광장점,게/대게,3.8,서울 광진구 천호대로 611 1층,매일 11:30 ~ 24:00,02-456-0277,78,79건
