식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
마산콧털네,해물/생선,4.9,서울 서초구 신반포로47길 118,매일 00:00 ~ 24:00,02-548-9139,9,7건
크래버대게나라 서초점,게/대게,4.0,서울 서초구 남부순환로339길 72 1층,매일 11:30 ~ 22:00,02-525-9779,100,72건
카페노티드 서래,카페,3.2,서울 서초구 방배로32길 30-9 1층,매일 09:00 ~ 21:00,02-599-9377,441,62건
애플하우스,떡볶이,3.0,서울 서초구 신반포로 50,매일 10:00 ~ 21:30,02-595-1629,903,224건
서관면옥,냉면,4.1,서울 서초구 서초대로56길 11 1층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-521-9945,226,122건
삼육가 사당역점,육류/고기,4.1,서울 서초구 방배천로 10,매일 11:30 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,02-582-0102,261,67건
텍사스데브라질 센트럴시티점,스테이크/립,3.3,서울 서초구 사평대로 205 BP 4-5 파미에가든 4층,매일 11:30 ~ 22:30,02-6282-5000,248,76건
프릳츠 양재점,카페,3.9,서울 서초구 강남대로37길 24-11 서림빌딩 1층,월~금 08:00 ~ 21:00,02-521-4148,449,111건
백년옥 본관,두부전문점,3.2,서울 서초구 남부순환로 2407,매일 10:00 ~ 22:00,02-523-2860,312,137건
공미학,커피전문점,3.9,서울 서초구 서초대로48길 101 1층,월~금 08:00 ~ 21:00,02-6462-9000,305,47건
하이디라오 강남점,샤브샤브,3.9,서울 서초구 서초대로77길 54 서초w타워 2층,매일 10:00 ~ 21:00,02-533-8260,216,77건
세광양대창 교대본점,곱창/막창,4.5,서울 서초구 반포대로28길 79 1/2층,매일 12:00 ~ 02:00,02-583-6692,223,127건
임병주산동칼국수,국수,3.2,서울 서초구 강남대로37길 65,화~일 11:00 ~ 21:00,02-3473-7972,342,164건
설마중,갈비,3.4,서울 서초구 남부순환로 2648,매일 11:30 ~ 22:00,02-3462-8888,68,17건
루엘드파리,제과/베이커리,3.9,서울 서초구 서초중앙로 18 112호,월~토 08:00 ~ 21:00,02-322-0939,275,105건
마루심 본점,장어,3.6,서울 서초구 고무래로10길 10 청구빌딩 1층,매일 11:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-592-8998,142,117건
교대이층집 본점,육류/고기,4.1,서울 서초구 서초대로50길 24 청화빌딩 2층,매일 11:00 ~ 00:30,02-525-6692,143,129건
낙원타코 강남역점,멕시칸/브라질,3.4,서울 서초구 서초대로73길 9 타임빌딩 2층,매일 11:30 ~ 23:00,,422,108건
캐틀앤비 양재천점,디저트카페,1.9,서울 서초구 양재천로 131,매일 09:00 ~ 23:00,02-578-2737,541,81건
한소반 청계산점,한식,3.3,서울 서초구 청계산로 249,매일 11:00 ~ 21:00,02-3453-1500,127,46건
이춘복참치&스시 강남점,참치회,2.8,서울 서초구 강남대로61길 13 1/2층,월~토 11:00 ~ 01:00 · 브레이크타임1 월~토 14:30 ~ 16:30,02-591-4558,90,46건
쉐이크쉑 센트럴시티점,햄버거,3.4,서울 서초구 신반포로 176 센트럴시티빌딩 1층 119호,매일 09:00 ~ 22:00,02-6282-3220,351,83건
이자카야나무 강남3호점,일본식주점,3.5,서울 서초구 서초대로75길 23,영업시간 매일 16:30 ~ 05:00,02-535-0348,56,24건
진스시,초밥/롤,4.1,서울 서초구 강남대로43길 22-2,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-588-3330,39,15건
봉산옥 서초동본점,국수,3.7,서울 서초구 반포대로8길 5-6,월~금 11:00 ~ 21:50 · 브레이크타임 월~토 14:30 ~ 17:00,02-525-2282,108,92건
카페토다,카페,3.8,서울 서초구 성촌6길 39,월~금 07:30 ~ 20:00,02-529-5401,118,45건
태양커피,커피전문점,4.4,서울 서초구 서초대로25길 55 1층,월~금 09:00 ~ 21:00,0507-1426-8181,299,98건
일일향 3호점,중화요리,2.9,서울 서초구 서초대로78길 22 3층,매일 11:20 ~ 21:30,02-555-8133,88,61건
일품진진수라 강남점,한정식,4.3,서울 서초구 서초대로 254 오퓨런스빌딩 지하 2층,매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6250-3110,176,6건
3대삼계장인,삼계탕,4.7,서울 서초구 반포대로28길 56-3 1층,매일 11:00 ~ 21:50,02-522-2270,312,364건
영동족발 본점,족발/보쌈,3.0,서울 서초구 남부순환로358길 8,월~토 11:30 ~ 21:00,02-571-3939,90,51건
대도식당 강남대로점,육류/고기,3.2,서울 서초구 강남대로 567,매일 11:00 ~ 22:00,02-544-9772,88,30건
크라이치즈버거 양재역점,햄버거,4.4,서울 서초구 강남대로41길 8,매일 10:30 ~ 21:30,02-582-6244,195,117건
교대곱창,곱창/막창,2.3,서울 서초구 서초중앙로 77,매일 12:00 ~ 05:00,02-3474-9167,134,68건
버드나무집 서초본점,육류/고기,3.5,서울 서초구 효령로 434,매일 11:00 ~ 22:00,02-3473-4167,61,57건
카몽,디저트카페,4.6,서울 서초구 서초대로42길 17 1층,화 09:00 ~ 21:00,02-522-5949,89,53건
라그릴리아 양재점,이탈리안,3.1,서울 서초구 남부순환로 2620 1층,매일 11:00 ~ 22:00,02-553-9192,69,17건
바른식 시골보쌈&감자옹심이 사당역별관점,족발/보쌈,2.6,서울 서초구 방배천로 12,매일 11:30 ~ 23:00,02-6959-2830,23,50건
미우야,돈까스/우동,3.4,서울 서초구 강남대로23길 90 기정빌딩 1층,매일 11:30 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,,157,71건
조양관,한정식,2.7,서울 서초구 서초대로74길 29 서초파라곤오피스텔 1층/ 지하1층,월~금 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-3473-8181,229,12건
은행골 강남역점,초밥/롤,3.7,서울 서초구 서초대로75길 34 3층,월~토 11:00 ~ 22:30,02-592-4988,513,101건
크래버대게나라 서초점,게/대게,4.0,서울 서초구 남부순환로339길 72 1층,매일 11:30 ~ 22:00,02-525-9779,100,72건
미즈컨테이너 강남웨스트점,양식,3.6,서울 서초구 서초대로73길 9 타임빌딩 1/2층,매일 12:00 ~ 22:00,,244,68건
꿉당,육류/고기,3.9,서울 서초구 강남대로 615,영업시간 매일 16:30 ~ 23:20,,254,54건
타르타르 강남역점,디저트카페,3.9,서울 서초구 강남대로61길 13 1층,매일 11:00 ~ 23:00,1800-1989,363,30건
브루클린더버거조인트 서래본점,햄버거,3.9,서울 서초구 서래로2길 27 1층,매일 11:30 ~ 22:00,02-533-7180,122,83건
홍미단,분식,4.0,서울 서초구 효령로31길 94,화~일 11:00 ~ 21:30,02-3472-3335,214,69건
장꼬방묵은김치찌개전문,찌개/전골,2.8,서울 서초구 효령로 364,매일 10:00 ~ 23:00,02-522-0035,105,126건
영동설렁탕,설렁탕,3.6,서울 서초구 강남대로101안길 24 2층,매일 00:00 ~ 24:00,02-543-4716,122,52건
설눈,냉면,3.8,서울 서초구 서초대로46길 20-7 영토빌딩 1층,월/화/수/목/금/일 11:00 ~ 21:00,02-6959-9339,160,53건
구름떡,떡/한과,3.9,서울 서초구 방배로33길 21 1층,월~토 08:00 ~ 23:00,02-533-1530,39,47건
육품,육류/고기,3.6,서울 서초구 서초대로73길 30 1층,매일 11:00 ~ 24:00 · 브레이크타임 매일 15:00 ~ 17:00,070-4821-1044,135,24건
리에또,이탈리안,3.9,서울 서초구 방배천로4안길 20,매일 11:00 ~ 21:20 · 브레이크타임 월~금 15:00 ~ 17:00,02-581-5291,117,51건
청계산 곤드레집,한식,3.7,서울 서초구 청룡마을1길 1 1/ 2층,월~금 11:00 ~ 20:30,02-574-4542,134,52건
두껍삼 강남직영점,육류/고기,3.2,서울 서초구 서초대로78길 44 서초나산스위트 1층,월~금 11:00 ~ 22:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-585-3592,133,21건
사계진미숯불닭갈비 강남본점,닭요리,4.4,서울 서초구 서초대로73길 30 2층,매일 11:00 ~ 02:00,02-6406-9292,77,40건
청류벽,국수,3.7,서울 서초구 서초대로74길 29 1층 105호,매일 11:30 ~ 22:00,0507-1358-1191,222,42건
가츠오,돈까스/우동,3.9,서울 서초구 서초중앙로20길 21,매일 11:30 ~ 20:00 · 브레이크타임 매일 14:00 ~ 17:00,02-6338-5154,249,88건
한성돈까스 신사본점,돈까스/우동,3.4,서울 서초구 강남대로97길 10,월~금 10:30 ~ 22:30,02-540-7054,111,120건
요멘야고에몬 강남점,퓨전일식,3.2,서울 서초구 서초대로77길 7 서초빌딩 1층,매일 11:00 ~ 22:00,02-534-8036,281,153건
탐라도야지,육류/고기,3.4,서울 서초구 서초대로50길 82,,02-521-3337,201,40건
까르니브라질그릴,멕시칸/브라질,4.1,서울 서초구 방배로 83-9 동화빌딩 5층,월~금 11:30 ~ 22:00,02-598-5066,62,37건
데블스도어 센트럴시티점,호프/요리주점,3.5,서울 서초구 사평대로 205,월/화/수/목/일 11:00 ~ 23:00,02-6282-4466,201,72건
JW메리어트호텔 서울 플레이버즈,뷔페,4.5,서울 서초구 신반포로 176 JW메리어트서울 2층,월/화/수/목/금/일 06:30 ~ 21:00 · 브레이크타임1 월~금 10:00 ~ 12:00 · 브레이크타임2 월~금 14:30 ~ 18:00,02-6282-6730,205,47건
마얘,디저트카페,3.3,서울 서초구 사평대로22길 14 1층,매일 11:30 ~ 22:00,02-749-1411,195,97건
산들해 반포점,한정식,3.8,서울 서초구 반포대로 287 래미안퍼스티지 중심상가 지하1층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 16:30,02-537-0113,44,43건
