식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
만두라,한식,3.8,서울 금천구 시흥대로 97 BB53호,월~금 11:00 ~ 20:00,02-809-8338,41,25건
동흥관,중화요리,2.7,서울 금천구 시흥대로63길 20,매일 11:00 ~ 21:30,02-803-3759,68,56건
가산물갈비&백년불고기,불고기/두루치기,3.8,서울 금천구 가산디지털1로 128 STXV타워 1층 110호,매일 11:00 ~ 22:00,02-830-8981,261,21건
강강술래 시흥점,육류/고기,2.9,서울 금천구 시흥대로 193 금천ICT타워 2층,매일 11:00 ~ 22:00,02-808-1888,94,18건
도원,뷔페,4.0,서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호,월~토 14:00 ~ 17:30,02-861-6616,37,23건
순댕이네얼큰수제비,수제비,2.9,서울 금천구 시흥대로136길 1,월~토 10:30 ~ 17:30,02-852-3670,91,40건
쌍교숯불갈비 서울금천점,한식,4.2,서울 금천구 시흥대로 435 1층,매일 11:00 ~ 21:00,02-859-1193,86,30건
김사부샤브샤브,샤브샤브,3.9,서울 금천구 가산로 132,,010-5811-0412,140,30건
개성손만두요리전문점 가산디지털점,한식,4.6,서울 금천구 가산로9길 22,매일 09:00 ~ 22:00,02-851-8886,62,43건
채영진의명품생고기무한리필 독산점,고기뷔페,2.7,서울 금천구 독산로 176,매일 11:30 ~ 23:00,02-6013-4748,107,9건
두껍삼 가산직영점,삼겹살,4.1,서울 금천구 벚꽃로38길 43,월~금 14:00 ~ 23:00,02-855-3592,109,8건
왕게수산,게/대게,3.0,서울 금천구 시흥대로 182,월~금 14:00 ~ 23:00,02-3141-8435,39,10건
호세가,멕시칸/브라질,4.4,서울 금천구 남부순환로108길 19 1층,화~일 14:00 ~ 17:00,070-8959-8826,88,38건
은행골 시흥분점,초밥/롤,3.7,서울 금천구 시흥대로 198 지하1층,,02-809-4988,122,21건
