식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
서일순대국전문 구로점,순대,4.5,서울 구로구 구로중앙로 6 1층,매일 00:00 ~ 24:00,02-855-9833,19,26건
우돈생고기,육류/고기,4.7,서울 구로구 개봉로2길 81,매일 11:00 ~ 23:00,02-6012-4193,1,16건
월래순교자관,중식,3.8,서울 구로구 디지털로19길 13,화~일 11:00 ~ 22:00 · 브레이크타임 화~일 16:00 ~ 16:30,02-855-8488,324,85건
신림춘천집 구로디지털직영점,닭요리,4.7,서울 구로구 디지털로32나길 17-23 우남산업 102호,월~금 11:00 ~ 24:00 · 브레이크타임 월~금 14:30 ~ 16:30,070-8624-1998,190,187건
평양냉면,냉면,3.8,서울 구로구 고척로10길 65,매일 11:30 ~ 20:30 · 브레이크타임 매일 14:40 ~ 16:00,02-2614-2263,81,60건
강촌숯불닭갈비 본점,닭요리,3.0,서울 구로구 공원로6나길 35-2,영업시간 화~일 16:00 ~ 23:30,02-851-2194,216,71건
갓파스시 구로점,초밥/롤,2.8,서울 구로구 디지털로 288 대륭포스트타워1차 214호,월/화/수/목/일 11:00 ~ 21:30,02-864-4377,84,59건
메이비,카페,3.2,서울 구로구 디지털로32나길 51,매일 09:00 ~ 23:30,02-859-3073,82,69건
스시메이진 구로점,초밥/롤,2.7,서울 구로구 디지털로 300 지밸리몰 2층 6호,매일 11:30 ~ 22:00,02-6344-3782,179,49건
한판참숯소갈비 구로디지털점,갈비,3.8,서울 구로구 시흥대로163길 12,영업시간 매일 15:30 ~ 01:00,02-867-7048,63,28건
화양가옥 구로디지털단지점,호프/요리주점,4.7,서울 구로구 디지털로32나길 17-23,매일 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,02-838-0877,127,18건
신도림참족발,족발/보쌈,4.0,서울 구로구 경인로 661,매일 14:00 ~ 02:00,02-3439-7182,102,42건
이도식당 신도림본점,닭요리,3.1,서울 구로구 경인로 661 푸르지오1차 2층 243호,매일 11:00 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00,02-3439-7668,99,33건
컴포,베트남음식,4.9,서울 구로구 경인로67길 23 1층 105호,화~일 11:30 ~ 23:30,0507-1318-3841,85,15건
새벽집양곱창 신도림점,곱창/막창,3.3,서울 구로구 경인로61길 21 크라운빌상가 108호,,02-2296-0325,63,19건
최우영스시,초밥/롤,2.8,서울 구로구 디지털로 288 대륭포스트타운 지하 1층,매일 11:30 ~ 21:20 · 브레이크타임 매일 15:00 ~ 17:30,02-2082-3430,104,50건
오사카로,일본식주점,4.2,서울 구로구 경인로67길 23 대우푸르지오 206호,영업시간 매일 17:00 ~ 03:00,02-2634-2223,70,11건
라도맨션,삼겹살,2.8,서울 구로구 공원로6다길 20 혜성빌딩 3층,영업시간 월~토 15:00 ~ 22:30,02-3667-1001,135,45건
송림가,갈비,3.1,서울 구로구 경인로 398,매일 11:30 ~ 22:00,02-2066-6000,13,14건
옛날마차 신관,회,2.6,서울 구로구 디지털로32길 97-13,영업시간 월~토 16:00 ~ 04:00,02-866-3779,97,7건
세광양대창 구로디지털점,곱창/막창,3.8,서울 구로구 디지털로32나길 7 2층,영업시간 월~토 16:00 ~ 24:00,02-851-0365,81,12건
라그릴리아 신도림디큐브시티점,이탈리안,3.4,서울 구로구 경인로 662 현대백화점 별관 2층,매일 11:00 ~ 23:00,02-2210-9255,126,23건
원조부안집 신도림점,육류/고기,4.3,서울 구로구 공원로6나길 18 1층,영업시간 매일 16:00 ~ 02:00,02-6406-1236,100,10건
초가집부뚜막청국장,한식,4.3,서울 구로구 구로중앙로28길 24,매일 08:30 ~ 22:00,02-863-0600,22,21건
롤링파스타 구로디지털역점,이탈리안,3.7,서울 구로구 디지털로32길 79 2층,매일 11:30 ~ 22:00,02-868-0410,74,18건
