식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
성북동메밀수제비누룽지백숙,닭요리,3.6,서울 성북구 성북로31길 9,화~일 11:30 ~ 21:00,02-764-0707,162,70건
성북동빵공장,디저트카페,2.4,서울 성북구 대사관로 40 B동 1~3층,매일 10:00 ~ 22:00,02-762-3450,301,88건
나폴레옹제과점 본점,제과/베이커리,2.9,서울 성북구 성북로 7,매일 08:30 ~ 21:30,02-742-7421,138,101건
성북동면옥집,냉면,3.1,서울 성북구 대사관로 40,매일 11:00 ~ 22:00,02-765-3450,221,71건
빙수야,떡볶이,4.5,서울 성북구 종암로38길 16,화/토 10:00 ~ 22:00,010-6260-3750,115,45건
한상차림밥상,한식,3.3,서울 성북구 고려대로8길 35,매일 11:00 ~ 21:00,010-9073-4141,106,55건
블랑제메종북악,디저트카페,3.2,서울 성북구 성북로 156,매일 10:00 ~ 23:00,02-747-0305,297,52건
공푸,중화요리,4.3,서울 성북구 삼선교로24길 29,월~토 11:30 ~ 20:00 · 브레이크타임 월~토 14:00 ~ 17:00,070-7566-4683,156,91건
수연산방,전통찻집,3.3,서울 성북구 성북로26길 8,월/화요일,02-764-1736,141,61건
팔백집,갈비,3.6,서울 성북구 보문로30길 46,매일 11:30 ~ 24:00,02-928-0032,276,54건
한스갤러리,이탈리안,4.3,서울 성북구 정릉로10길 127,매일 11:30 ~ 22:00,02-941-1141,131,23건
쌍다리돼지불백 본점,기사식당,3.2,서울 성북구 성북로23길 4,매일 09:00 ~ 21:30,02-743-0325,68,55건
태조감자국,감자탕,3.6,서울 성북구 보문로34길 43 세학빌딩 1층,매일 10:00 ~ 01:00,02-921-7667,158,69건
안동반점,중화요리,3.9,서울 성북구 고려대로1길 35-1,화/수요일,02-923-4448,84,47건
금왕돈까스 본점,돈까스/우동,2.8,서울 성북구 성북로 138,화~일 10:30 ~ 21:00,02-763-9366,154,73건
이공김밥 안암본점,분식,4.3,서울 성북구 안암로 61-6,매일 10:00 ~ 22:00,02-926-0005,151,64건
문화식당,퓨전요리,4.4,서울 성북구 보문로30나길 37 지하1층,월~토 12:00 ~ 24:00 · 브레이크타임 매일 15:30 ~ 17:30,02-6381-4644,155,85건
고른햇살,분식,4.6,서울 성북구 개운사길 27,매일 06:00 ~ 00:30,02-953-3394,155,96건
수아당,분식,3.8,서울 성북구 동소문로20가길 33 1/2층,매일 08:00 ~ 20:00,02-926-0625,615,45건
갈비명가이상 길음신관,갈비,2.4,서울 성북구 정릉로 395,매일 11:00 ~ 23:00,02-919-8000,44,35건
해로커피,커피전문점,4.4,서울 성북구 성북로 19-3 1층,매일 11:00 ~ 22:00,02-6012-9871,125,54건
장위동유성집 본점,육류/고기,3.4,서울 성북구 화랑로 118 2/ 3층,매일 11:30 ~ 22:30,02-915-4021,44,20건
애정마라샹궈 본점,중식,4.3,서울 성북구 동소문로20나길 11 2층,매일 11:30 ~ 23:00,02-921-3721,243,101건
라라면가,중식,4.2,서울 성북구 동소문로22길 57-25,매일 11:30 ~ 21:00 · 브레이크타임 매일 16:00 ~ 17:00,02-921-4851,127,50건
최고당돈가스 성신여대점,돈까스/우동,4.2,서울 성북구 보문로34길 77 1층,매일 11:00 ~ 21:30,02-921-8822,98,54건
청년밥상문간,찌개/전골,5.0,서울 성북구 보국문로11길 18-2 2층,월~토 11:00 ~ 20:30 · 브레이크타임 월~토 14:30 ~ 17:00,02-741-6031,26,105건
동선식당,갈비,4.5,서울 성북구 보문로30라길 9 1층,매일 11:00 ~ 23:00,02-953-6632,129,25건
장수감자탕,감자탕,4.0,서울 성북구 도봉로3길 9-10,매일 11:00 ~ 22:30,02-980-1003,78,24건
갈비명가이상 돈암본관,갈비,2.7,서울 성북구 정릉로 364,매일 11:00 ~ 23:00,02-925-8700,30,23건
우리할매떡볶이 정릉점,떡볶이,4.2,서울 성북구 보국문로 45 1층 4호,매일 11:00 ~ 21:00,02-909-1107,31,10건
알렉스더커피 성북점,커피전문점,3.2,서울 성북구 성북로28길 9,월~금 11:00 ~ 19:00,,101,27건
제순식당 성신여대본점,한식,3.9,서울 성북구 동소문로20다길 30-8,매일 10:00 ~ 22:00,02-927-2007,138,35건
폴드커피,카페,4.4,서울 성북구 종암로 214-3 1/2층,화요일,02-912-9946,119,28건
청수장,육류/고기,3.2,서울 성북구 정릉로 237-2 1층,매일 11:00 ~ 22:30,02-913-6176,39,26건
한상,한정식,2.1,서울 성북구 화랑로 248 장위뉴타워 13층,매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:30,02-962-1472,88,14건
버거파크 성신여대점,햄버거,3.8,서울 성북구 동소문로22길 56 1층,매일 11:30 ~ 22:00,02-955-3005,140,60건
창신동매운족발 본점1호점,족발/보쌈,4.2,서울 성북구 한천로78길 57,영업시간 매일 15:00 ~ 00:30,02-966-9923,131,25건
그레도제빵사,제과/베이커리,3.9,서울 성북구 화랑로 304,매일 09:00 ~ 22:00,070-8290-3033,215,73건
우정초밥,초밥/롤,4.9,서울 성북구 종암로3길 31 1층,화~토 11:30 ~ 20:30 · 브레이크타임 화~토 14:30 ~ 17:30,070-4320-2333,84,59건
국시집,국수,3.1,서울 성북구 창경궁로43길 9,월/화/수/목/금/일 12:00 ~ 21:00 · 브레이크타임 월/화/수/목/금/일 14:30 ~ 17:30,02-762-1924,43,54건
드림랜드,분식,4.3,서울 성북구 월계로 166,매일 11:00 ~ 20:00,02-906-4198,41,28건
성북동집,국수,3.8,서울 성북구 성북로24길 4,매일 10:00 ~ 21:00,02-747-6234,42,28건
427월곡닭갈비,닭요리,4.6,서울 성북구 화랑로 170,화~토 11:30 ~ 24:00 · 브레이크타임 화~일 15:00 ~ 16:30,02-959-4620,97,32건
더홈서울,커피전문점,3.7,서울 성북구 고려대로1길 87,화요일,,100,22건
마몽함박,스테이크/립,4.4,서울 성북구 보국문로 92,화~토 11:30 ~ 21:00,02-6083-2188,59,28건
우주제빵소,제과/베이커리,4.4,서울 성북구 성북로28길 13 지하1층/1/2층,화~일 10:00 ~ 21:00,02-6959-7558,39,20건
유자유김치떡볶이 본점,떡볶이,3.8,서울 성북구 고려대로24길 48 2층,매일 10:50 ~ 02:00,02-927-9200,228,34건
남해바다마차,회,3.8,서울 성북구 한천로78길 71,영업시간 매일 17:00 ~ 24:00,02-966-5036,75,17건
스프레드,제과/베이커리,4.4,서울 성북구 성북로6가길 1 1층,월/화/일요일,,58,45건
카페루틴,카페,4.0,서울 성북구 보문로34가길 6 1층,매일 11:00 ~ 22:00,,113,37건
커피명가 안암점,카페,4.2,서울 성북구 안암로5길 40 java빌딩 1층,월~금 09:00 ~ 22:00,02-928-0892,34,19건
서울왕돈까스 성북동본점,돈까스/우동,2.6,서울 성북구 창경궁로35다길 140,매일 09:00 ~ 24:00,02-766-9370,52,18건
야마토텐동,일식,4.1,서울 성북구 고려대로28길 2 1층,월~토 11:00 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-6326-1055,105,46건
오박사네왕돈까스,돈까스/우동,2.7,서울 성북구 혜화로 80,매일 09:00 ~ 24:00,02-3673-5730,61,30건
윤휘식당,일식,3.3,서울 성북구 보문로34길 70 2층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:30,02-922-0851,160,52건
군자대한곱창 성신여대점,곱창/막창,3.7,서울 성북구 동소문로20다길 15 1층,영업시간 매일 16:00 ~ 02:00,02-6013-9924,152,10건
구포국수,국수,3.7,서울 성북구 성북로 52-1,월~토 11:00 ~ 01:30,02-744-0215,18,26건
밀곳간,제과/베이커리,4.3,서울 성북구 성북로18길 19 1층,매일 09:00 ~ 20:00,02-742-0525,35,46건
제주고깃집 성북구청점,육류/고기,4.6,서울 성북구 보문로 144,매일 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,02-921-0505,145,16건
가부,중화요리,4.1,서울 성북구 보문로 182 1층,화~일 11:00 ~ 21:00 · 브레이크타임 화~일 15:30 ~ 17:00,02-929-2182,49,28건
백소정,돈까스/우동,3.4,서울 성북구 개운사길 30 2층,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,,68,28건
포도집,이탈리안,2.6,서울 성북구 정릉로32길 4 1층,매일 11:00 ~ 24:00 · 브레이크타임 매일 16:00 ~ 18:00,,130,19건
조비스그릴 성북점,아시아음식,4.3,서울 성북구 성북로 110,화~일 11:30 ~ 22:30,02-763-3096,112,9건
동우설렁탕 본점,설렁탕,4.1,서울 성북구 개운사길 45,월~금 09:00 ~ 22:00,02-926-5243,34,29건
숙수도가,육류/고기,4.0,서울 성북구 동소문로17길 28,매일 12:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,010-6471-2629,59,10건
시장떡볶이,떡볶이,3.2,서울 성북구 돌곶이로22가길 27,월~금 10:00 ~ 15:00,02-965-3719,18,15건
